,loss,val_loss,val_loss -- train loss,num times val_loss less than training loss,347
0,0.001923356,8.41E-05,-1.84E-03,1,
1,8.21E-05,8.58E-05,3.76E-06,0,
2,8.21E-05,8.51E-05,3.05E-06,0,
3,8.18E-05,8.34E-05,1.63E-06,0,
4,8.18E-05,8.70E-05,5.18E-06,0,
5,8.20E-05,8.25E-05,5.39E-07,0,
6,8.14E-05,8.18E-05,3.66E-07,0,
7,8.20E-05,9.27E-05,1.07E-05,0,
8,8.26E-05,8.17E-05,-8.82E-07,1,
9,8.35E-05,8.79E-05,4.39E-06,0,
10,8.28E-05,8.20E-05,-8.58E-07,1,
11,8.40E-05,9.17E-05,7.75E-06,0,
12,8.43E-05,8.10E-05,-3.31E-06,1,
13,8.32E-05,8.89E-05,5.71E-06,0,
14,8.30E-05,8.80E-05,5.06E-06,0,
15,8.45E-05,8.27E-05,-1.84E-06,1,
16,8.42E-05,7.99E-05,-4.28E-06,1,
17,8.33E-05,8.12E-05,-2.09E-06,1,
18,8.22E-05,9.05E-05,8.30E-06,0,
19,8.38E-05,8.43E-05,4.95E-07,0,
20,8.24E-05,8.57E-05,3.34E-06,0,
21,8.17E-05,0.000102072,2.04E-05,0,
22,8.30E-05,8.98E-05,6.77E-06,0,
23,8.35E-05,9.32E-05,9.67E-06,0,
24,8.25E-05,8.04E-05,-2.08E-06,1,
25,8.19E-05,8.29E-05,1.03E-06,0,
26,8.24E-05,7.90E-05,-3.35E-06,1,
27,8.24E-05,8.20E-05,-3.54E-07,1,
28,8.14E-05,8.20E-05,6.03E-07,0,
29,8.19E-05,9.31E-05,1.12E-05,0,
30,8.14E-05,0.000111418,3.01E-05,0,
31,8.25E-05,8.72E-05,4.70E-06,0,
32,8.10E-05,7.87E-05,-2.24E-06,1,
33,8.15E-05,0.000103447,2.19E-05,0,
34,8.32E-05,8.43E-05,1.09E-06,0,
35,8.25E-05,8.02E-05,-2.25E-06,1,
36,8.17E-05,8.99E-05,8.25E-06,0,
