iShares Exponential Technologies ETF,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
NVDA,NVIDIA CORP,Information Technology,Equity,"39,417,950.52",1.17,"39,417,950.52","92,331.00",426.92,United States,NASDAQ,USD,1.00,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"36,727,262.00",1.09,"36,727,262.00","130,702.00",281.00,United States,NASDAQ,USD,1.00,USD,-
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"34,325,909.20",1.02,"34,325,909.20","2,105,884.00",16.30,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
MDB,MONGODB INC CLASS A,Information Technology,Equity,"31,727,348.50",0.94,"31,727,348.50","83,515.00",379.90,United States,NASDAQ,USD,1.00,USD,-
EXAS,EXACT SCIENCES CORP,Health Care,Equity,"30,301,991.46",0.90,"30,301,991.46","324,363.00",93.42,United States,NASDAQ,USD,1.00,USD,-
SOFI,SOFI TECHNOLOGIES INC,Financials,Equity,"29,776,958.20",0.88,"29,776,958.20","3,462,437.00",8.60,United States,NASDAQ,USD,1.00,USD,-
HUBS,HUBSPOT INC,Information Technology,Equity,"28,051,069.80",0.83,"28,051,069.80","54,015.00",519.32,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"25,483,857.92",0.76,"25,483,857.92","212,224.00",120.08,United States,NASDAQ,USD,1.00,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"24,899,131.02",0.74,"24,899,131.02","28,682.00",868.11,United States,NASDAQ,USD,1.00,USD,-
MANH,MANHATTAN ASSOCIATES INC,Information Technology,Equity,"24,203,161.23",0.72,"24,203,161.23","126,183.00",191.81,United States,NASDAQ,USD,1.00,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"24,180,027.36",0.72,"24,180,027.36","114,186.00",211.76,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ORCL,ORACLE CORP,Information Technology,Equity,"23,717,711.16",0.70,"23,717,711.16","189,046.00",125.46,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ASM,ASM INTERNATIONAL NV,Information Technology,Equity,"23,439,888.58",0.70,"23,439,888.58","53,522.00",437.95,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-
WTC.AX,WISETECHGLOBAL PTY LTD,Information Technology,Equity,"22,918,699.64",0.68,"22,918,699.64","416,560.00",55.02,Australia,Asx - All Markets,USD,1.46,AUD,-
2015.HK,LI AUTO CLASS A INC,Consumer Discretionary,Equity,"22,760,008.70",0.68,"22,760,008.70","1,320,300.00",17.24,China,Hong Kong Exchanges And Clearing Ltd,USD,7.82,HKD,-
NET,CLOUDFLARE INC CLASS A,Information Technology,Equity,"22,747,485.76",0.67,"22,747,485.76","336,352.00",67.63,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"22,294,447.49",0.66,"22,294,447.49","90,433.00",246.53,United States,NASDAQ,USD,1.00,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"22,290,499.70",0.66,"22,290,499.70","85,555.00",260.54,United States,NASDAQ,USD,1.00,USD,-
TWLO,TWILIO INC CLASS A,Information Technology,Equity,"22,240,816.95",0.66,"22,240,816.95","328,763.00",67.65,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
NXT,NEXTDC LTD,Information Technology,Equity,"22,016,577.99",0.65,"22,016,577.99","2,480,270.00",8.88,Australia,Asx - All Markets,USD,1.46,AUD,-
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"21,875,339.20",0.65,"21,875,339.20","92,755.00",235.84,United States,NASDAQ,USD,1.00,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"21,679,937.72",0.64,"21,679,937.72","38,339.00",565.48,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMS,AMADEUS IT GROUP SA,Consumer Discretionary,Equity,"21,496,378.02",0.64,"21,496,378.02","281,399.00",76.39,Spain,Bolsa De Madrid,USD,0.92,EUR,-
DT,DYNATRACE INC,Information Technology,Equity,"21,137,285.97",0.63,"21,137,285.97","412,757.00",51.21,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"21,116,704.26",0.63,"21,116,704.26","168,274.00",125.49,United States,NASDAQ,USD,1.00,USD,-
TEAM,ATLASSIAN CORP CLASS A,Information Technology,Equity,"21,101,304.00",0.63,"21,101,304.00","118,680.00",177.80,United States,NASDAQ,USD,1.00,USD,-
FTNT,FORTINET INC,Information Technology,Equity,"21,016,607.82",0.62,"21,016,607.82","288,769.00",72.78,United States,NASDAQ,USD,1.00,USD,-
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"20,944,053.43",0.62,"20,944,053.43","40,463.00",517.61,United States,NASDAQ,USD,1.00,USD,-
6506.T,YASKAWA ELECTRIC CORP,Industrials,Equity,"20,935,706.56",0.62,"20,935,706.56","446,600.00",46.88,Japan,Tokyo Stock Exchange,USD,141.50,JPY,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"20,932,110.18",0.62,"20,932,110.18","61,146.00",342.33,United States,NASDAQ,USD,1.00,USD,-
DDOG,DATADOG INC CLASS A,Information Technology,Equity,"20,884,702.75",0.62,"20,884,702.75","218,117.00",95.75,United States,NASDAQ,USD,1.00,USD,-
WRT1V.HE,WARTSILA,Industrials,Equity,"20,631,292.11",0.61,"20,631,292.11","1,734,829.00",11.89,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.92,EUR,-
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"20,517,648.50",0.61,"20,517,648.50","33,490.00",612.65,United States,NASDAQ,USD,1.00,USD,-
ANSS,ANSYS INC,Information Technology,Equity,"20,504,571.51",0.61,"20,504,571.51","61,323.00",334.37,United States,NASDAQ,USD,1.00,USD,-
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"20,413,321.20",0.61,"20,413,321.20","131,580.00",155.14,United States,NASDAQ,USD,1.00,USD,-
SNPS,SYNOPSYS INC,Information Technology,Equity,"20,296,063.57",0.60,"20,296,063.57","46,003.00",441.19,United States,NASDAQ,USD,1.00,USD,-
ZS,ZSCALER INC,Information Technology,Equity,"20,075,203.50",0.60,"20,075,203.50","130,350.00",154.01,United States,NASDAQ,USD,1.00,USD,-
